fecha,taller,inscritos,asistentes,sede
2026-02-07,Robótica Inicial,19,15,Villa El Salvador
2026-02-07,Programación con Scratch,21,14,Villa El Salvador
2026-02-07,Ciencia en Casa,23,15,Villa María
2026-02-07,Matemática Lúdica,27,22,Villa María
2026-02-14,Robótica Inicial,29,23,Villa El Salvador
2026-02-14,Programación con Scratch,22,15,Villa El Salvador
2026-02-14,Ciencia en Casa,24,16,Villa María
2026-02-14,Matemática Lúdica,27,19,Villa El Salvador
2026-02-21,Robótica Inicial,22,17,Villa María
2026-02-21,Programación con Scratch,19,12,Villa El Salvador
2026-02-21,Ciencia en Casa,28,18,Villa María
2026-02-21,Matemática Lúdica,26,21,Villa El Salvador
2026-02-28,Robótica Inicial,27,23,Villa El Salvador
2026-02-28,Programación con Scratch,22,18,Villa María
2026-02-28,Ciencia en Casa,20,13,Villa El Salvador
2026-02-28,Matemática Lúdica,18,12,Villa El Salvador
2026-03-07,Robótica Inicial,20,16,Villa El Salvador
2026-03-07,Programación con Scratch,19,16,Villa María
2026-03-07,Ciencia en Casa,30,22,Villa María
2026-03-07,Matemática Lúdica,21,14,Villa El Salvador
2026-03-14,Robótica Inicial,18,15,Villa María
2026-03-14,Programación con Scratch,20,16,Villa María
2026-03-14,Ciencia en Casa,26,20,Villa María
2026-03-14,Matemática Lúdica,25,17,Villa María
2026-03-21,Robótica Inicial,18,14,Villa María
2026-03-21,Programación con Scratch,25,19,Villa El Salvador
2026-03-21,Ciencia en Casa,24,17,Villa El Salvador
2026-03-21,Matemática Lúdica,27,22,Villa María
2026-03-28,Robótica Inicial,23,18,Villa María
2026-03-28,Programación con Scratch,23,16,Villa María
2026-03-28,Ciencia en Casa,19,12,Villa El Salvador
2026-03-28,Matemática Lúdica,27,19,Villa María
2026-04-04,Robótica Inicial,24,18,Villa El Salvador
2026-04-04,Programación con Scratch,18,15,Villa María
2026-04-04,Ciencia en Casa,19,15,Villa María
2026-04-04,Matemática Lúdica,22,14,Villa El Salvador
2026-04-11,Robótica Inicial,20,14,Villa El Salvador
2026-04-11,Programación con Scratch,30,18,Villa María
2026-04-11,Ciencia en Casa,23,15,Villa El Salvador
2026-04-11,Matemática Lúdica,20,12,Villa María
2026-04-18,Robótica Inicial,23,16,Villa El Salvador
2026-04-18,Programación con Scratch,20,15,Villa María
2026-04-18,Ciencia en Casa,22,16,Villa María
2026-04-18,Matemática Lúdica,28,22,Villa María
2026-04-25,Robótica Inicial,26,17,Villa María
2026-04-25,Programación con Scratch,30,23,Villa María
2026-04-25,Ciencia en Casa,18,14,Villa María
2026-04-25,Matemática Lúdica,19,13,Villa El Salvador
2026-05-02,Robótica Inicial,23,16,Villa El Salvador
2026-05-02,Programación con Scratch,25,16,Villa El Salvador
2026-05-02,Ciencia en Casa,22,15,Villa El Salvador
2026-05-02,Matemática Lúdica,28,21,Villa El Salvador
2026-05-09,Robótica Inicial,23,16,Villa El Salvador
2026-05-09,Programación con Scratch,26,17,Villa María
2026-05-09,Ciencia en Casa,18,10,Villa María
2026-05-09,Matemática Lúdica,28,18,Villa El Salvador
2026-05-16,Robótica Inicial,26,18,Villa El Salvador
2026-05-16,Programación con Scratch,18,12,Villa El Salvador
2026-05-16,Ciencia en Casa,30,23,Villa María
2026-05-16,Matemática Lúdica,28,18,Villa María
2026-05-23,Robótica Inicial,29,16,Villa El Salvador
2026-05-23,Programación con Scratch,19,11,Villa El Salvador
2026-05-23,Ciencia en Casa,18,13,Villa María
2026-05-23,Matemática Lúdica,18,10,Villa María
2026-05-30,Robótica Inicial,24,15,Villa María
2026-05-30,Programación con Scratch,22,15,Villa María
2026-05-30,Ciencia en Casa,29,21,Villa El Salvador
2026-05-30,Matemática Lúdica,30,18,Villa María
2026-06-06,Robótica Inicial,20,11,Villa El Salvador
2026-06-06,Programación con Scratch,20,10,Villa María
2026-06-06,Ciencia en Casa,30,21,Villa El Salvador
2026-06-06,Matemática Lúdica,23,17,Villa El Salvador
2026-06-13,Robótica Inicial,21,12,Villa María
2026-06-13,Programación con Scratch,29,17,Villa El Salvador
2026-06-13,Ciencia en Casa,26,17,Villa María
2026-06-13,Matemática Lúdica,25,18,Villa El Salvador
2026-06-20,Robótica Inicial,30,17,Villa El Salvador
2026-06-20,Programación con Scratch,30,16,Villa María
2026-06-20,Ciencia en Casa,26,16,Villa El Salvador
2026-06-20,Matemática Lúdica,26,16,Villa María
2026-06-27,Robótica Inicial,23,16,Villa María
2026-06-27,Programación con Scratch,29,17,Villa María
2026-06-27,Ciencia en Casa,20,11,Villa María
2026-06-27,Matemática Lúdica,28,20,Villa María
2026-07-04,Robótica Inicial,21,14,Villa El Salvador
2026-07-04,Programación con Scratch,26,17,Villa El Salvador
2026-07-04,Ciencia en Casa,30,21,Villa El Salvador
2026-07-04,Matemática Lúdica,26,18,Villa El Salvador
2026-07-11,Robótica Inicial,27,14,Villa María
2026-07-11,Programación con Scratch,23,15,Villa María
2026-07-11,Ciencia en Casa,28,17,Villa El Salvador
2026-07-11,Matemática Lúdica,25,14,Villa María
2026-07-18,Robótica Inicial,24,16,Villa María
2026-07-18,Programación con Scratch,26,15,Villa El Salvador
2026-07-18,Ciencia en Casa,26,17,Villa El Salvador
2026-07-18,Matemática Lúdica,20,13,Villa María
2026-07-25,Robótica Inicial,23,12,Villa El Salvador
2026-07-25,Programación con Scratch,22,13,Villa María
2026-07-25,Ciencia en Casa,27,13,Villa El Salvador
2026-07-25,Matemática Lúdica,26,17,Villa El Salvador
