fecha,campana,suscriptores,enviados,aperturas,clics,bajas
2026-02-05,Newsletter #01,1885,1821,607,76,2
2026-02-12,Newsletter #02,1944,1918,609,133,2
2026-02-19,Newsletter #03,2006,1906,580,110,5
2026-02-26,Newsletter #04,2064,2016,678,107,4
2026-03-05,Newsletter #05,2127,2088,697,139,4
2026-03-12,Newsletter #06,2194,2095,667,140,6
2026-03-19,Newsletter #07,2234,2174,726,157,5
2026-03-26,Newsletter #08,2285,2227,755,148,3
2026-04-02,Newsletter #09,2343,2262,707,111,4
2026-04-09,Newsletter #10,2402,2281,733,113,2
2026-04-16,Newsletter #11,2460,2339,781,105,3
2026-04-23,Newsletter #12,2513,2377,755,118,5
2026-04-30,Newsletter #13,2563,2436,831,110,4
2026-05-07,Newsletter #14,2601,2473,851,118,2
2026-05-14,Newsletter #15,2665,2557,785,135,3
2026-05-21,Newsletter #16,2719,2574,823,152,6
2026-05-28,Newsletter #17,2781,2693,806,143,3
2026-06-04,Newsletter #18,2835,2710,819,126,3
2026-06-11,Newsletter #19,2885,2826,944,163,3
2026-06-18,Newsletter #20,2952,2871,884,169,1
2026-06-25,Newsletter #21,3012,2878,974,188,1
2026-07-02,Newsletter #22,3061,2950,996,212,1
2026-07-09,Newsletter #23,3102,2956,968,169,4
2026-07-16,Newsletter #24,3164,3020,915,179,0
2026-07-23,Newsletter #25,3222,3071,687,150,4
2026-07-30,Newsletter #26,3286,3094,665,126,5
