fecha,lead_id,canal,segmento,convertido,dias_a_primera_respuesta
2026-05-02,L00001,facebook,talleres,0,0
2026-05-02,L00002,web,voluntariado,0,2
2026-05-02,L00003,instagram,donacion,0,2
2026-05-03,L00004,web,voluntariado,1,2
2026-05-03,L00005,facebook,general,0,1
2026-05-03,L00006,web,talleres,0,3
2026-05-04,L00007,referido,talleres,1,0
2026-05-04,L00008,instagram,talleres,0,3
2026-05-04,L00009,instagram,voluntariado,1,1
2026-05-04,L00010,facebook,talleres,0,1
2026-05-04,L00011,facebook,talleres,0,2
2026-05-04,L00012,instagram,talleres,0,0
2026-05-04,L00013,facebook,general,0,1
2026-05-05,L00014,web,talleres,1,1
2026-05-05,L00015,podium,talleres,0,1
2026-05-05,L00016,facebook,talleres,0,1
2026-05-05,L00017,facebook,talleres,0,5
2026-05-05,L00018,instagram,voluntariado,0,0
2026-05-05,L00019,podium,talleres,1,3
2026-05-06,L00020,web,talleres,1,1
2026-05-06,L00021,instagram,talleres,0,1
2026-05-06,L00022,referido,talleres,1,1
2026-05-06,L00023,podium,general,0,3
2026-05-06,L00024,podium,talleres,0,0
2026-05-06,L00025,instagram,general,0,1
2026-05-06,L00026,referido,general,0,1
2026-05-07,L00027,web,talleres,1,2
2026-05-07,L00028,facebook,talleres,1,0
2026-05-07,L00029,instagram,general,1,2
2026-05-07,L00030,web,voluntariado,0,5
2026-05-07,L00031,instagram,voluntariado,1,0
2026-05-08,L00032,instagram,general,0,1
2026-05-08,L00033,web,talleres,0,5
2026-05-08,L00034,podium,talleres,1,1
2026-05-08,L00035,referido,general,0,0
2026-05-08,L00036,facebook,general,0,0
2026-05-08,L00037,web,talleres,0,0
2026-05-09,L00038,facebook,donacion,1,1
2026-05-09,L00039,facebook,talleres,1,0
2026-05-09,L00040,referido,voluntariado,0,0
2026-05-10,L00041,facebook,talleres,0,1
2026-05-10,L00042,web,talleres,1,3
2026-05-10,L00043,web,voluntariado,0,1
2026-05-11,L00044,web,donacion,0,0
2026-05-11,L00045,instagram,general,0,5
2026-05-11,L00046,web,general,0,0
2026-05-11,L00047,facebook,talleres,1,0
2026-05-11,L00048,web,talleres,0,0
2026-05-11,L00049,facebook,talleres,0,0
2026-05-11,L00050,podium,general,0,2
2026-05-12,L00051,referido,general,0,0
2026-05-12,L00052,podium,general,0,5
2026-05-12,L00053,facebook,talleres,0,1
2026-05-12,L00054,instagram,talleres,0,1
2026-05-12,L00055,instagram,talleres,1,0
2026-05-12,L00056,instagram,talleres,1,5
