fecha,sesiones,usuarios,paginas_vistas,duracion_media_seg,tasa_rebote
2026-02-01,93,79,250,96,0.408
2026-02-02,194,148,499,175,0.389
2026-02-03,260,197,650,105,0.557
2026-02-04,194,163,482,156,0.388
2026-02-05,170,132,493,81,0.496
2026-02-06,189,139,591,111,0.474
2026-02-07,137,119,432,113,0.444
2026-02-08,115,99,270,145,0.454
2026-02-09,219,161,461,187,0.499
2026-02-10,198,144,416,116,0.551
2026-02-11,226,190,460,149,0.463
2026-02-12,184,146,449,138,0.497
2026-02-13,382,319,754,136,0.412
2026-02-14,104,91,329,136,0.427
2026-02-15,108,79,303,129,0.572
2026-02-16,240,190,617,156,0.534
2026-02-17,302,255,706,126,0.571
2026-02-18,216,172,453,93,0.453
2026-02-19,213,183,629,151,0.533
2026-02-20,178,147,399,139,0.569
2026-02-21,141,106,271,166,0.605
2026-02-22,146,119,326,170,0.382
2026-02-23,274,230,820,126,0.526
2026-02-24,227,181,643,85,0.48
2026-02-25,299,228,593,115,0.389
2026-02-26,220,180,692,132,0.46
2026-02-27,177,143,401,151,0.483
2026-02-28,109,91,227,156,0.486
2026-03-01,127,110,307,187,0.506
2026-03-02,267,214,757,164,0.437
2026-03-03,245,199,522,144,0.616
2026-03-04,282,241,839,100,0.444
2026-03-05,241,183,463,100,0.593
2026-03-06,164,138,508,123,0.448
2026-03-07,297,255,643,174,0.563
2026-03-08,146,114,375,103,0.554
2026-03-09,239,185,491,131,0.586
2026-03-10,203,178,544,85,0.464
2026-03-11,304,250,899,134,0.42
2026-03-12,186,139,592,107,0.416
2026-03-13,212,175,503,73,0.453
2026-03-14,120,98,300,84,0.588
2026-03-15,130,102,300,69,0.544
2026-03-16,211,169,503,88,0.514
2026-03-17,278,236,856,161,0.405
2026-03-18,240,199,667,92,0.487
2026-03-19,269,195,678,80,0.528
2026-03-20,184,143,417,164,0.478
2026-03-21,167,143,326,96,0.565
2026-03-22,143,106,444,90,0.392
2026-03-23,286,240,574,126,0.459
2026-03-24,318,239,724,68,0.431
2026-03-25,306,244,658,69,0.413
2026-03-26,211,168,578,106,0.389
2026-03-27,228,180,641,87,0.392
2026-03-28,114,91,245,162,0.604
2026-03-29,260,213,800,100,0.386
2026-03-30,242,180,480,135,0.551
2026-03-31,290,235,895,110,0.43
2026-04-01,230,195,717,181,0.555
2026-04-02,274,230,773,139,0.548
2026-04-03,235,188,505,107,0.62
2026-04-04,127,108,295,120,0.491
2026-04-05,140,111,377,182,0.388
2026-04-06,266,218,715,186,0.405
2026-04-07,276,233,692,93,0.435
2026-04-08,309,251,587,110,0.407
2026-04-09,276,226,752,166,0.434
2026-04-10,240,205,749,167,0.543
2026-04-11,167,144,343,134,0.41
2026-04-12,126,96,243,143,0.505
2026-04-13,273,209,742,120,0.383
2026-04-14,304,239,799,187,0.457
2026-04-15,259,191,821,148,0.389
2026-04-16,232,182,724,69,0.581
2026-04-17,244,183,532,162,0.539
2026-04-18,161,124,441,188,0.563
2026-04-19,145,117,379,157,0.598
2026-04-20,490,386,1406,88,0.435
2026-04-21,284,235,878,138,0.408
2026-04-22,330,250,666,160,0.524
2026-04-23,247,197,549,147,0.425
2026-04-24,229,165,495,123,0.523
2026-04-25,141,104,431,109,0.436
2026-04-26,146,105,333,87,0.586
2026-04-27,206,162,618,120,0.464
2026-04-28,239,175,525,68,0.393
2026-04-29,326,271,805,166,0.401
2026-04-30,253,193,608,132,0.384
2026-05-01,219,158,435,189,0.549
2026-05-02,130,95,320,91,0.506
2026-05-03,115,89,224,66,0.381
2026-05-04,219,182,572,149,0.508
2026-05-05,226,174,511,76,0.579
2026-05-06,247,179,485,118,0.425
2026-05-07,256,192,758,185,0.598
2026-05-08,201,152,622,114,0.566
2026-05-09,150,115,317,152,0.55
2026-05-10,143,124,410,66,0.614
2026-05-11,255,189,614,76,0.534
2026-05-12,632,476,1492,177,0.529
2026-05-13,306,243,859,115,0.423
2026-05-14,297,241,664,156,0.589
2026-05-15,204,170,406,93,0.406
2026-05-16,138,101,262,80,0.462
2026-05-17,160,129,508,142,0.552
2026-05-18,262,216,639,114,0.547
2026-05-19,354,292,982,75,0.498
2026-05-20,274,224,737,146,0.591
2026-05-21,200,169,538,160,0.583
2026-05-22,238,184,723,153,0.515
2026-05-23,146,125,319,173,0.417
2026-05-24,155,116,409,188,0.422
2026-05-25,220,175,458,96,0.598
2026-05-26,354,258,859,174,0.588
2026-05-27,310,253,607,148,0.532
2026-05-28,313,252,873,178,0.512
2026-05-29,203,169,512,147,0.442
2026-05-30,153,118,318,81,0.498
2026-05-31,151,115,316,172,0.413
2026-06-01,305,249,647,131,0.534
2026-06-02,256,208,659,116,0.591
2026-06-03,725,551,1475,140,0.459
2026-06-04,263,223,745,174,0.498
2026-06-05,189,148,494,81,0.437
2026-06-06,132,108,353,106,0.397
2026-06-07,116,101,297,89,0.431
2026-06-08,291,228,878,91,0.481
2026-06-09,341,283,916,153,0.41
2026-06-10,248,210,575,176,0.409
2026-06-11,233,186,559,92,0.422
2026-06-12,210,173,468,179,0.512
2026-06-13,175,153,413,70,0.569
2026-06-14,164,129,397,143,0.517
2026-06-15,264,204,740,146,0.526
2026-06-16,303,245,620,94,0.507
2026-06-17,270,199,646,133,0.516
2026-06-18,210,162,447,165,0.473
2026-06-19,267,210,532,162,0.452
2026-06-20,162,117,378,74,0.454
2026-06-21,158,121,301,68,0.415
2026-06-22,314,230,807,90,0.579
2026-06-23,328,276,854,108,0.551
2026-06-24,253,205,589,69,0.546
2026-06-25,513,384,1640,72,0.439
2026-06-26,228,191,477,72,0.49
2026-06-27,128,98,275,183,0.415
2026-06-28,131,111,330,84,0.424
2026-06-29,323,258,627,142,0.437
2026-06-30,372,271,1068,183,0.453
2026-07-01,259,196,762,97,0.398
2026-07-02,266,211,641,161,0.559
2026-07-03,226,167,481,111,0.424
2026-07-04,158,117,438,90,0.54
2026-07-05,133,100,394,151,0.496
2026-07-06,297,225,728,83,0.383
2026-07-07,366,269,1152,189,0.558
2026-07-08,286,225,817,171,0.429
2026-07-09,261,206,566,144,0.585
2026-07-10,263,212,761,73,0.584
2026-07-11,144,107,416,93,0.5
2026-07-12,145,126,305,102,0.424
2026-07-13,321,245,615,158,0.586
2026-07-14,380,329,1175,153,0.583
2026-07-15,265,232,512,163,0.616
2026-07-16,226,164,543,133,0.43
2026-07-17,572,446,1554,154,0.557
2026-07-18,134,103,263,154,0.382
2026-07-19,132,115,305,155,0.454
2026-07-20,340,250,907,117,0.497
2026-07-21,290,231,642,165,0.525
2026-07-22,348,271,784,165,0.498
2026-07-23,285,247,580,107,0.554
2026-07-24,210,179,613,108,0.578
2026-07-25,176,154,440,145,0.435
2026-07-26,180,131,352,157,0.619
2026-07-27,283,238,663,92,0.393
2026-07-28,297,251,814,170,0.538
2026-07-29,382,292,929,66,0.548
2026-07-30,228,198,659,69,0.454
